freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
,22528480,0,0,0,0,0,18040903,"Jack Lenor Larsen"
/m/04grt38,18765167,0,0,0,0,0,18040933,"Tucker Viemeister"
/m/02r4rz2,11239818,0,0,0,0,0,18040947,"Sue Palmer"
,32855143,0,0,0,0,0,18040949,"Michele Oka Doner"
/m/0f94vg,5854220,0,0,0,0,0,18041023,"Vladimir Kagan"
/m/078zrz,2393913,0,0,0,0,0,18041025,"Hiroshi Awatsuji"
,1697559,0,0,1619,0,0,18041029,"Henry Dreyfuss Associates"
,857967,0,0,0,0,0,18041077,"Donald Cameron"
,34056483,0,0,0,0,0,18041081,"Création Baumann AG"
/m/03h3x_c,14989908,0,0,0,3536,0,18041127,"Per Arnoldi"
/m/03c38sz,13375570,0,0,5800,0,0,18041173,"Ikko Tanaka"
/m/0589sr9,20811216,0,0,0,0,0,18041253,"Richard Arbib"
/m/0gyvvwk,30129469,0,0,0,0,0,18041321,"Maya Romanoff"
,32336860,0,0,2005,0,0,18041325,"Dan Friedman"
/m/0ccj4,45534,100223891,0,7661,0,0,18041345,"Aldo Rossi"
,2879346,0,0,0,0,0,18041393,"John Bruce"
/m/0bp_jq,4207229,0,0,8451,0,0,18041437,"Dieter Rams"
/m/05p6rp,1697559,8198939,0,0,0,0,18041501,"Henry Dreyfuss"
/m/01gx66,225721,0,0,0,0,0,18041507,"Honeywell, Inc."
,563788,0,0,0,0,0,18041523,"Tibor Kalman"
/m/05z_tr_,22481954,0,0,0,0,18308365,18041543,"Belle Kogan"
,11207829,0,0,8271,0,0,18041625,"Edward Fella"
/m/0dcmnj,5285932,0,0,7456,0,0,18041683,"Art Chantry"
/m/01p60k,274837,0,0,0,0,0,18041809,"Cranbrook Academy of Art"
/m/0c8fsq,4550992,0,0,2330,0,0,18041839,"April Greiman"
/m/03mnk,21347024,0,0,0,0,0,18041847,Hewlett-Packard
/m/03sc8,18622259,0,0,7636,37577,0,18041871,IBM
/m/07zy60,2720986,0,0,0,2601,0,18041911,"Jean Le Pautre"
/m/036wbz,735328,0,0,0,0,0,18041915,"Giulio Romano"
/m/0273cw7,8436986,0,0,0,0,0,18041919,"Giovanni Francesco Romanelli"
/m/04ggyzk,18749130,0,0,3020,0,0,18041923,"Edward McKnight Kauffer"
/m/05ccb7,1571706,0,0,0,1440,18297497,18041933,"Wenceslaus Hollar"
/m/027yjg9,9123961,0,0,0,0,0,18041935,"Pietro Novelli"
/m/01pkdk,277766,42087786,0,0,0,0,18041941,"Frederic Edwin Church"
,1121043,0,0,0,0,0,18041943,"Daniel Huntington"
,2590067,0,0,0,0,0,18041945,"Jean Bérain"
/m/01th73,313284,15044075,0,0,0,18300259,18041949,"Winslow Homer"
,35681769,0,0,0,0,0,18041951,"Mauro Gandolfi"
/m/02q78z6,10281195,0,0,0,0,0,18041953,"Vittorio Maria Bigari"
/m/02vfqg,602144,0,0,0,0,0,18041955,"Augustin Pajou"
/m/04y8mqg,20155026,0,0,0,0,0,18041971,"Batiste Madalena"
/m/05pbkh,1699063,0,0,0,0,0,18041973,"Donald Deskey"
,182947,0,0,0,51799,0,18041981,"Random House"
/m/059v1j,1552813,0,0,0,0,0,18041985,"Pantheon Books"
,17210825,0,0,0,0,0,18041989,"Asia Institute"
/m/04m8t4,1251967,0,0,0,0,0,18041993,"Princeton University Press"
/m/01gtzn,225297,0,0,2058,0,0,18042001,"Emile Gallé"
/m/02qkqgy,10631870,0,0,0,0,0,18042005,"William Guy Wall"
,5999642,0,0,0,0,0,18042009,"Richard Hudnut"
/m/03f_4x,840224,66562250,0,0,16076,0,18042011,"Joachim von Sandrart"
/m/0cmd7_z,13257278,138088373,0,0,0,0,18042021,"Whitney Warren"
/m/07_pg0,2732559,0,0,0,44613,0,18042023,"Bernard Picart"
